,Country Name,Year,Domestic credit to private sector (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (constant 2015 US$),Gross fixed capital formation (% of GDP),"Inflation, consumer prices (annual %)",Trade (% of GDP)
67,India,2002,32.30648907355375,1.0115694648991929,793.6159129063807,28.332524809293613,4.29715203929563,29.5086629350614
68,India,2003,31.62626561864905,0.6058878570917939,841.2788945716736,28.334825706243315,3.80585899528851,30.592436132907984
69,India,2004,36.19180385459677,0.765596855110284,892.5966145816124,30.70814142389926,3.76725173477515,37.50381405944698
70,India,2005,40.067980478057265,0.8860983784588226,947.7325656466725,32.7553370362813,4.24634362031922,42.00166961486911
71,India,2006,43.62775243342684,2.1301684253449515,1008.2327534378254,33.58489157693486,5.79652337561634,45.724480499265226
72,India,2007,45.62776474571382,2.0733940466875365,1069.246968130251,35.812878121522424,6.37288135593231,45.686268679347975
73,India,2008,49.55936668711599,3.620523235401708,1086.5060525151252,34.717959353566926,8.34926704907581,53.368220439222625
74,India,2009,48.12444791120459,2.651590332354796,1155.1016327417178,33.95162692996741,10.8823529411764,46.272869642883734
75,India,2010,50.555374978522416,1.635034094349102,1235.159391339511,33.23001466656123,11.9893899204244,49.25520649741613
76,India,2011,51.28923313254473,2.0020634629993026,1281.6105435493278,34.31341664695565,8.91179336483371,55.62388001352977
77,India,2012,51.888507647346394,1.3129345303532376,1333.0962655766764,33.43693432566342,9.47899691419801,55.793721728751144
78,India,2013,52.38570951697198,1.5162764665975017,1399.4537980287025,31.295800847769492,10.0178784746102,53.844131946677734
79,India,2014,51.882187358962774,1.6956595899080675,1484.3164068291328,30.08023705885034,6.66565671867899,48.922185747066905
80,India,2015,51.86752407720488,2.092115214432529,1583.998159079848,28.733144128731723,4.90697344127256,41.92291386586472
81,India,2016,49.10122541914491,1.937364122443896,1694.4653497382467,28.188437884665912,4.94821634062141,40.08248571327602
82,India,2017,48.79402139907059,1.5073158325589415,1788.6977031844576,28.177813615563156,3.32817337461298,40.74249695452253
83,India,2018,50.338162746306246,1.558214838014558,1883.3577270506162,29.46306815125083,3.9388264669163,43.61696933238889
84,India,2019,50.7424617406439,1.7848263395716106,1936.0306774106673,28.454544334819467,3.72950573539129,39.90540353064419
85,India,2020,54.50529024603868,2.4062032267363627,1806.5011058387809,27.324321373856154,6.62343677628535,37.75810532927675
86,India,2021,50.14215813969825,1.41217101040888,1965.3094343750604,29.57803451584875,5.13140747176369,45.423088784044594
87,India,2022,,1.4924882590400035,2098.2112447615036,31.223094436116405,6.69903414079852,50.0752701498882
88,India,2023,,0.7717209750884081,2270.905180802697,30.42604557142751,5.64914318907925,44.99284228775613
89,India,2024,,0.7056364489535385,2396.712718581016,29.607472773726634,4.95303550973656,44.671092635242196
90,Russian Federation,1995,,0.5222568381686219,4862.646484375,21.077727813941415,197.414268084251,55.18290546572573
91,Russian Federation,1996,,0.6584544564165475,4686.86279296875,20.00174218361948,47.7520122009939,47.922500819418985
92,Russian Federation,1997,,1.2013588926256151,4760.33935546875,18.292313301009084,14.761329268806,47.25692141007482
